cafe_id,cafe_name,study_space,car_req,price_point,nondairy_charge,gluten_free,specials,food_menu,address
0,eleva,T,F,high,T,F,snickerdoodle dirty chai latte,F,"111 S Boundary St, Williamsburg, VA 23185"
1,illy,T,F,mid,T,F,vanilla raspberry cappuccino ,T,"435 W Duke of Gloucester St, Williamsburg, VA 23185"
2,aromas,T,F,mid,T,T,s'mores latte,T,"431 Prince George St, Williamsburg, VA 23185"
3,hohl,T,F,mid,T,T,housemade dingo syrup latte,T,"219 N Boundary St, Williamsburg, VA 23185"
4,the bake shop,F,F,mid,T,F,sunrise matcha,T,"204 Armistead Ave, Williamsburg, VA 23185"
5,grit coffee,T,T,high,T,F,bluberry espresso vanilla soda,F,"100 College Row Ste 2101, Williamsburg, VA 23185"
6,the coffeehouse,T,T,mid,T,T,the charles special blend,T,"5251 John Tyler Hwy suite 6, Williamsburg, VA 23185"
7,1607 coffee company,T,T,low,F,T,the beach waves latte,T,"1303 Jamestown Road, Williamsburg, VA 23185"
8,culture cafe,T,N,low,T,T,,T,"747 Scotland St, Williamsburg, VA 23185"
9,tipsy beans,T,F,,T,T,,T,"1430 High St Suite, Williamsburg, VA 23185"
10,column 15,T,T,high,F,T,nitro crème cold brew,T,"701 Merrimac Trail R, Williamsburg, VA 23185"
11,kingship brewing co,T,T,,T,F,,F,"113 Palace Ln STE D, Williamsburg, VA 23185"
12,starbucks,T,F,high,F,F,iced lavander oatmilk latte,F,"327 Richmond Rd, Williamsburg, VA 23185"
13,dunkin,T,T,high,F,F,dunkalatte,F,"1317 Richmond Rd, Williamsburg, VA 23185"