cafe_id,atmosphere_desc,specials_desc
0,chic,nutty
0,bright,sweet
0,upscale,creamy
1,chic,fruity
1,upscale,vanilla
1,bustling,creamy
2,local,chocolatey
2,bustling,sweet
2,cozy,creamy
3,cozy,spicy
3,local,nutty
3,authentic,rich
4,bustling,fruity
4,local,sweet
4,bright,earthy
5,modern,fruity
5,chic,bitter
5,upscale,sweet
6,cozy,rich
6,bright,strong
6,hole in the wall,earthy
7,modern,sweet
7,airy,vanilla
7,local,rich
8,authentic,chocolatey
8,cozy,fruity
8,funky,floral
9,modern,spicy
9,funky,sweet
9,airy,creamy
10,funky,creamy
10,airy,sweet
10,hole in the wall,strong
11,authentic,rich
11,cozy,chocolatey
11,modest,fruity
12,modern,light
12,cheap,sweet
12,airy,floral
13,cheap,creamy
13,modern,sweet
13,modest,chocolatey
14,bright,bitter
14,cheap,strong
14,modest,spicy