cafe_id,cafe_name,specials,address
0,Eleva,Snickerdoodle Dirty Chai Latte,"111 S Boundary St, Williamsburg, VA 23185"
1,Illy,Vanilla Raspberry Cappuccino,"435 W Duke of Gloucester St, Williamsburg, VA 23185"
2,Aromas,S'mores Latte,"431 Prince George St, Williamsburg, VA 23185"
3,Hohl,Housemade Dingo Syrup Latte,"219 N Boundary St, Williamsburg, VA 23185"
4,The Bake Shop,Sunrise Matcha,"204 Armistead Ave, Williamsburg, VA 23185"
5,Grit Coffee,Bluberry Espresso Vanilla Soda,"100 College Row Ste 2101, Williamsburg, VA 23185"
6,The Coffeehouse,Charles Special Blend,"5251 John Tyler Hwy suite 6, Williamsburg, VA 23185"
7,1607 Coffee Company,Beach Waves Latte,"1303 Jamestown Road, Williamsburg, VA 23185"
8,Culture Cafe,Blackberry Lavender White Mocha,"747 Scotland St, Williamsburg, VA 23185"
9,Tipsy Beans,French Toast Latte,"1430 High St Suite, Williamsburg, VA 23185"
10,Column 15,Nitro Crème Cold Brew,"701 Merrimac Trail R, Williamsburg, VA 23185"
11,Kingship Brewing Co.,Mocha Malinka,"113 Palace Ln STE D, Williamsburg, VA 23185"
12,Starbucks,Iced Lavander Oatmilk Latte,"327 Richmond Rd, Williamsburg, VA 23185"
13,Dunkin,Dunkalatte,"1317 Richmond Rd, Williamsburg, VA 23185"
14,Wawa,Dark Roast Blend,"315 Richmond Rd, Williamsburg, VA 23185"